"No","year","month","day","hour","pm2.5","No","avg","std"
771,2010,2,2,2,87,771,60.666666666666664,3.399346342395189
784,2010,2,2,15,32,784,26.666666666666668,1.2472191289246468
786,2010,2,2,17,43,786,31.666666666666668,2.867441755680875
787,2010,2,2,18,70,787,36.666666666666664,4.642796092394707
797,2010,2,3,4,107,797,68.66666666666667,4.78423336480244
809,2010,2,3,16,23,809,15.333333333333334,1.247219128924647
810,2010,2,3,17,34,810,18.333333333333332,3.39934634239519
811,2010,2,3,18,96,811,24,7.788880963698615
815,2010,2,3,22,105,815,89.66666666666667,3.7712361663282516
827,2010,2,4,10,33,827,26.666666666666668,0.4714045207910321
832,2010,2,4,15,61,832,29,1.4142135623730951
845,2010,2,5,4,87,845,47.666666666666664,4.9216076867444665
849,2010,2,5,8,126,849,98.66666666666667,6.342099196813483
858,2010,2,5,17,80,858,70.33333333333333,1.6996731711975954
870,2010,2,6,5,85,870,48.666666666666664,3.8586123009300746
875,2010,2,6,10,80,875,65.66666666666667,1.6996731711975954
877,2010,2,6,12,93,877,73,6.164414002968976
884,2010,2,6,19,100,884,80.66666666666667,2.62466929133727
885,2010,2,6,20,189,885,88.33333333333333,8.259674462242579
894,2010,2,7,5,77,894,68.33333333333333,2.4944382578492954
905,2010,2,7,16,141,905,116,8.286535263104035
913,2010,2,8,0,178,913,157.66666666666666,1.699673171197598
917,2010,2,8,4,197,917,184.33333333333334,2.4944382578492936
924,2010,2,8,11,159,924,136.33333333333334,2.8674417556808725
927,2010,2,8,14,184,927,166,4.96655480858378
932,2010,2,8,19,196,932,150,11.430952132988164
936,2010,2,8,23,258,936,223.33333333333334,9.741092797468303
954,2010,2,9,17,54,954,50,0.816496580927726
955,2010,2,9,18,153,955,51.333333333333336,2.0548046676563247
968,2010,2,10,7,10,968,8,0
970,2010,2,10,9,20,970,9,0.816496580927726
988,2010,2,11,3,12,988,10.333333333333334,0.4714045207910318
994,2010,2,11,9,11,994,9.333333333333334,0.4714045207910318
998,2010,2,11,13,21,998,12,0
1004,2010,2,11,19,22,1004,18,0.816496580927726
1017,2010,2,12,8,14,1017,10,0.816496580927726
1018,2010,2,12,9,21,1018,11.333333333333334,2.054804667656325
1027,2010,2,12,18,19,1027,12.333333333333334,0.9428090415820636
1029,2010,2,12,20,50,1029,17.333333333333332,4.642796092394707
1032,2010,2,12,23,69,1032,56,4.320493798938574
1033,2010,2,13,0,108,1033,62.333333333333336,4.78423336480244
1044,2010,2,13,11,37,1044,24.333333333333332,1.2472191289246468
1050,2010,2,13,17,64,1050,53.666666666666664,2.4944382578492936
1051,2010,2,13,18,100,1051,57.333333333333336,5.312459150169742
1054,2010,2,13,21,213,1054,116.33333333333333,14.88474237451074
1057,2010,2,14,0,351,1057,246.33333333333334,23.79542439676633
1058,2010,2,14,1,980,1058,292.3333333333333,41.6119640915393
1067,2010,2,14,10,16,1067,7,0
1076,2010,2,14,19,21,1076,15.666666666666666,0.4714045207910318
1077,2010,2,14,20,36,1077,17.666666666666668,2.357022603955158
1078,2010,2,14,21,51,1078,24.333333333333332,8.498365855987975
1090,2010,2,15,9,39,1090,14.333333333333334,2.357022603955158
1100,2010,2,15,19,26,1100,13.666666666666666,0.9428090415820632
1101,2010,2,15,20,50,1101,17.333333333333332,6.128258770283413
1118,2010,2,16,13,39,1118,23,1.4142135623730951
1119,2010,2,16,14,79,1119,28,7.874007874011811
1126,2010,2,16,21,178,1126,162.33333333333334,3.399346342395187
1127,2010,2,16,22,192,1127,168.66666666666666,7.039570693980962
1130,2010,2,17,1,237,1130,199,6.164414002968976
1148,2010,2,17,19,27,1148,10,1.4142135623730951
1151,2010,2,17,22,49,1151,32.333333333333336,4.988876515698588
1157,2010,2,18,4,80,1157,38.333333333333336,2.0548046676563247
1161,2010,2,18,8,87,1161,73.66666666666667,2.8674417556808742
1162,2010,2,18,9,107,1162,79.33333333333333,5.557777333511024
1170,2010,2,18,17,29,1170,26.666666666666668,0.47140452079103146
1171,2010,2,18,18,41,1171,27.666666666666668,0.9428090415820629
1173,2010,2,18,20,115,1173,39,7.483314773547883
1174,2010,2,18,21,265,1174,67.66666666666667,33.559234529741914
1197,2010,2,19,20,65,1197,46,2.160246899469287
1198,2010,2,19,21,101,1198,52.666666666666664,8.956685895029603
1199,2010,2,19,22,146,1199,71.66666666666667,21.74600857373345
1222,2010,2,20,21,211,1222,178,4.898979485566356
1224,2010,2,20,23,282,1224,200.66666666666666,16.048537489614297
1245,2010,2,21,20,69,1245,24.333333333333332,4.189935029992179
1257,2010,2,22,8,99,1257,89.66666666666667,0.47140452079103085
1266,2010,2,22,17,92,1266,79.66666666666667,3.2998316455372203
1274,2010,2,23,1,111,1274,87.66666666666667,1.6996731711975934
1276,2010,2,23,3,129,1276,101.66666666666667,8.73053390247253
1280,2010,2,23,7,130,1280,111.33333333333333,4.921607686744467
1283,2010,2,23,10,142,1283,133.33333333333334,2.494438257849292
1284,2010,2,23,11,150,1284,137.33333333333334,3.399346342395187
1286,2010,2,23,13,160,1286,146.66666666666666,3.399346342395191
1287,2010,2,23,14,179,1287,152.66666666666666,5.249338582674544
1292,2010,2,23,19,218,1292,194,2.160246899469287
1293,2010,2,23,20,246,1293,203,10.614455552060438
1303,2010,2,24,6,237,1303,225.66666666666666,1.8856180831641285
1305,2010,2,24,8,262,1305,235.66666666666666,6.599663291074446
1306,2010,2,24,9,296,1306,247.33333333333334,10.65624490876385
1309,2010,2,24,12,311,1309,299.6666666666667,2.6246692913372662
1315,2010,2,24,18,353,1315,296.3333333333333,3.0912061651652385
1326,2010,2,25,5,148,1326,136,2.160246899469287
1327,2010,2,25,6,210,1327,140.33333333333334,5.792715732327586
1334,2010,2,25,13,248,1334,237.66666666666666,2.4944382578492936
1349,2010,2,26,4,51,1349,45.666666666666664,0.47140452079103085
1354,2010,2,26,9,75,1354,51.333333333333336,4.988876515698588
1366,2010,2,26,21,103,1366,74.66666666666667,6.599663291074442
1376,2010,2,27,7,34,1376,30.333333333333332,0.9428090415820636
1377,2010,2,27,8,52,1377,31.333333333333332,2.054804667656326
1379,2010,2,27,10,89,1379,50.333333333333336,12.710450643291745
1380,2010,2,27,11,138,1380,68.66666666666667,15.326085243430196
1388,2010,2,27,19,105,1388,102,0.816496580927726
1390,2010,2,27,21,124,1390,102,2.943920288775949
1411,2010,2,28,18,21,1411,14.666666666666666,1.247219128924647
1412,2010,2,28,19,72,1412,17.333333333333332,2.6246692913372707
1416,2010,2,28,23,161,1416,107,17.568911937472585
1427,2010,3,1,10,39,1427,21.666666666666668,3.3993463423951895
1430,2010,3,1,13,61,1430,44.666666666666664,4.921607686744467
1435,2010,3,1,18,86,1435,70,4.08248290463863
1443,2010,3,2,2,108,1443,100.33333333333333,0.9428090415820642
1447,2010,3,2,6,120,1447,111.33333333333333,2.8674417556808756
1449,2010,3,2,8,138,1449,118.66666666666667,5.792715732327588
1450,2010,3,2,9,164,1450,127.66666666666667,7.586537784494027
1460,2010,3,2,19,34,1460,28.333333333333332,1.247219128924647
1461,2010,3,2,20,44,1461,29.666666666666668,3.091206165165234
1462,2010,3,2,21,116,1462,35.333333333333336,6.599663291074442
1468,2010,3,3,3,158,1468,99.33333333333333,7.133644853010898
1476,2010,3,3,11,146,1476,126.66666666666667,4.921607686744466
1477,2010,3,3,12,165,1477,135,8.286535263104035
1478,2010,3,3,13,202,1478,148,13.140268896284683
1492,2010,3,4,3,126,1492,102.33333333333333,4.18993502999218
1497,2010,3,4,8,131,1497,123.33333333333333,2.054804667656327
1499,2010,3,4,10,156,1499,127.66666666666667,2.3570226039551594
1500,2010,3,4,11,187,1500,137.66666666666666,13.123346456686356
1507,2010,3,4,18,246,1507,226.33333333333334,3.68178700572909
1512,2010,3,4,23,269,1512,258,3.559026084010437
1520,2010,3,5,7,19,1520,14.666666666666666,1.2472191289246473
1522,2010,3,5,9,24,1522,18,1.4142135623730951
1531,2010,3,5,18,22,1531,16.666666666666668,0.9428090415820629
1532,2010,3,5,19,30,1532,18.666666666666668,2.494438257849294
1543,2010,3,6,6,19,1543,13,1.632993161855452
1545,2010,3,6,8,27,1545,15.333333333333334,3.2998316455372216
1549,2010,3,6,12,39,1549,26,2.449489742783178
1550,2010,3,6,13,52,1550,31.333333333333332,5.557777333511023
1552,2010,3,6,15,91,1552,52,10.614455552060438
1573,2010,3,7,12,83,1573,64.33333333333333,5.249338582674542
1577,2010,3,7,16,132,1577,100,6.531972647421808
1599,2010,3,8,14,32,1599,27.666666666666668,1.2472191289246468
1601,2010,3,8,16,43,1601,31.333333333333332,1.6996731711975952
1613,2010,3,9,4,13,1613,8.333333333333334,1.247219128924647
1616,2010,3,9,7,20,1616,12.333333333333334,0.9428090415820632
1624,2010,3,9,15,23,1624,19.666666666666668,0.47140452079103146
1629,2010,3,9,20,26,1629,15.333333333333334,0.9428090415820632
1632,2010,3,9,23,51,1632,25,2.160246899469287
1636,2010,3,10,3,61,1636,48.333333333333336,2.0548046676563256
1638,2010,3,10,5,85,1638,55.666666666666664,5.557777333511022
1641,2010,3,10,8,111,1641,85.33333333333333,1.2472191289246488
1653,2010,3,10,20,51,1653,33,0.816496580927726
1656,2010,3,10,23,89,1656,60.333333333333336,7.0395706939809575
1659,2010,3,11,2,144,1659,98.66666666666667,7.133644853010898
1662,2010,3,11,5,158,1662,142,1.632993161855452
1666,2010,3,11,9,183,1666,147,10.708252269472673
1675,2010,3,11,18,189,1675,160,4.242640687119285
1682,2010,3,12,1,314,1682,218.33333333333334,4.109609335312654
1696,2010,3,12,15,16,1696,12.666666666666666,0.9428090415820632
1699,2010,3,12,18,19,1699,16.333333333333332,0.4714045207910321
1700,2010,3,12,19,32,1700,17.333333333333332,1.2472191289246475
1701,2010,3,12,20,53,1701,22.666666666666668,6.649979114420001
1704,2010,3,12,23,91,1704,53,0.816496580927726
1712,2010,3,13,7,50,1712,40,1.4142135623730951
1713,2010,3,13,8,69,1713,43,5.0990195135927845
1724,2010,3,13,19,75,1724,59,1.4142135623730951
1731,2010,3,14,2,65,1731,40.666666666666664,2.8674417556808764
1736,2010,3,14,7,105,1736,78.33333333333333,2.3570226039551594
1743,2010,3,14,14,78,1743,69.66666666666667,2.3570226039551594
1746,2010,3,14,17,94,1746,82.33333333333333,3.299831645537223
1747,2010,3,14,18,112,1747,87.66666666666667,4.642796092394705
1756,2010,3,15,3,220,1756,128.33333333333334,20.417857108151402
1772,2010,3,15,19,52,1772,21.333333333333332,3.299831645537222
1776,2010,3,15,23,44,1776,33.666666666666664,3.2998316455372225
1777,2010,3,16,0,61,1777,38.333333333333336,4.496912521077347
1784,2010,3,16,7,71,1784,53.333333333333336,2.357022603955158
1799,2010,3,16,22,85,1799,64,2.160246899469287
1819,2010,3,17,18,28,1819,22.666666666666668,1.247219128924647
1820,2010,3,17,19,39,1820,25,2.160246899469287
1821,2010,3,17,20,51,1821,30,6.683312551921141
1826,2010,3,18,1,89,1826,71,4.08248290463863
1833,2010,3,18,8,110,1833,84.33333333333333,4.18993502999218
1834,2010,3,18,9,135,1834,93.33333333333333,12.472191289246473
1839,2010,3,18,14,227,1839,182,14.445299120013633
1846,2010,3,18,21,226,1846,206.66666666666666,1.699673171197598
1859,2010,3,19,10,231,1859,217.33333333333334,2.8674417556808756
1860,2010,3,19,11,249,1860,220.66666666666666,7.408703590297626
1875,2010,3,20,2,216,1875,181,1.4142135623730951
1877,2010,3,20,4,700,1877,203.66666666666666,16.739839372652963
1895,2010,3,20,22,27,1895,21,1.632993161855452
1896,2010,3,20,23,41,1896,23.666666666666668,2.494438257849294
1912,2010,3,21,15,73,1912,51.333333333333336,1.6996731711975943
1915,2010,3,21,18,106,1915,81.66666666666667,6.944222218666551
1923,2010,3,22,2,90,1923,85,1.632993161855452
1925,2010,3,22,4,100,1925,89,1.4142135623730951
1929,2010,3,22,8,112,1929,97.66666666666667,3.0912061651652327
1930,2010,3,22,9,315,1930,103.33333333333333,6.599663291074445
1931,2010,3,22,10,784,1931,176.33333333333334,98.1370923193106
1950,2010,3,23,5,46,1950,24.333333333333332,0.4714045207910321
1953,2010,3,23,8,86,1953,53.333333333333336,5.73488351136175
1961,2010,3,23,16,60,1961,54,0.816496580927726
1963,2010,3,23,18,64,1963,56.666666666666664,2.357022603955158
1968,2010,3,23,23,69,1968,58.333333333333336,3.399346342395189
1978,2010,3,24,9,76,1978,66,2.160246899469287
1984,2010,3,24,15,53,1984,28.333333333333332,6.548960901462833
1985,2010,3,24,16,92,1985,34,13.92838827718412
1998,2010,3,25,5,69,1998,46,3.559026084010437
2006,2010,3,25,13,18,2006,11,1.4142135623730951
2011,2010,3,25,18,30,2011,19.333333333333332,0.9428090415820629
2014,2010,3,25,21,33,2014,28.666666666666668,1.247219128924647
2016,2010,3,25,23,59,2016,32,2.160246899469287
2020,2010,3,26,3,72,2020,64,2.160246899469287
2030,2010,3,26,13,64,2030,43.333333333333336,5.312459150169742
2036,2010,3,26,19,84,2036,69,2.943920288775949
2039,2010,3,26,22,142,2039,89,6.377042156569663
2045,2010,3,27,4,127,2045,65.33333333333333,17.82008853949821
2059,2010,3,27,18,61,2059,50.666666666666664,2.494438257849295
2068,2010,3,28,3,56,2068,44.333333333333336,2.8674417556808756
2072,2010,3,28,7,99,2072,64.66666666666667,4.02768199119819
2078,2010,3,28,13,120,2078,91.66666666666667,4.189935029992177
2087,2010,3,28,22,72,2087,55,5.0990195135927845
2091,2010,3,29,2,117,2091,91.33333333333333,7.363574011458176
2096,2010,3,29,7,169,2096,140.33333333333334,6.236095644623233
2097,2010,3,29,8,208,2097,152.66666666666666,11.728408057172791
2100,2010,3,29,11,218,2100,203,4.08248290463863
2103,2010,3,29,14,237,2103,220,1.632993161855452
2110,2010,3,29,21,366,2110,283.6666666666667,8.956685895029596
2118,2010,3,30,5,271,2118,252,2.8284271247461903
2145,2010,3,31,8,129,2145,124,0
2169,2010,4,1,8,30,2169,24,1.632993161855452
2174,2010,4,1,13,35,2174,21,0
2181,2010,4,1,20,24,2181,16.666666666666668,1.247219128924647
2183,2010,4,1,22,54,2183,20.333333333333332,2.8674417556808756
2205,2010,4,2,20,30,2205,15,4.242640687119285
2206,2010,4,2,21,69,2206,21,7.3484692283495345
2213,2010,4,3,4,58,2213,52.666666666666664,0.4714045207910321
2216,2010,4,3,7,100,2216,58,1.632993161855452
2217,2010,4,3,8,133,2217,72,19.86621923433512
2230,2010,4,3,21,161,2230,127.33333333333333,5.90668171555645
2233,2010,4,4,0,184,2233,164.33333333333334,2.8674417556808756
2236,2010,4,4,3,206,2236,185.33333333333334,6.599663291074441
2251,2010,4,4,18,43,2251,31,2.943920288775949
2252,2010,4,4,19,61,2252,34,6.683312551921141
2256,2010,4,4,23,173,2256,85,11.51810169544733
2264,2010,4,5,7,180,2264,165.33333333333334,3.299831645537219
2270,2010,4,5,13,186,2270,171,4.08248290463863
2281,2010,4,6,0,30,2281,20.333333333333332,2.054804667656325
2286,2010,4,6,5,33,2286,16.333333333333332,3.091206165165235
2301,2010,4,6,20,23,2301,14.666666666666666,2.0548046676563256
2304,2010,4,6,23,34,2304,22,2.160246899469287
2305,2010,4,7,0,52,2305,25.666666666666668,6.236095644623235
2308,2010,4,7,3,87,2308,58.666666666666664,7.408703590297624
2314,2010,4,7,9,101,2314,73.66666666666667,4.189935029992177
2326,2010,4,7,21,96,2326,83.66666666666667,2.8674417556808756
2327,2010,4,7,22,110,2327,86.66666666666667,6.798692684790378
2336,2010,4,8,7,75,2336,68.33333333333333,0.9428090415820642
2338,2010,4,8,9,91,2338,74,3.7416573867739413
2339,2010,4,8,10,107,2339,81.33333333333333,6.944222218666555
2341,2010,4,8,12,127,2341,101.66666666666667,7.542472332656506
2348,2010,4,8,19,144,2348,115,9.092121131323903
2360,2010,4,9,7,77,2360,57.666666666666664,5.557777333511023
2364,2010,4,9,11,131,2364,65.66666666666667,8.178562764256863
2372,2010,4,9,19,94,2372,65.66666666666667,4.496912521077346
2385,2010,4,10,8,22,2385,14.666666666666666,0.9428090415820632
2390,2010,4,10,13,24,2390,18,1.4142135623730951
2393,2010,4,10,16,32,2393,22.666666666666668,0.9428090415820636
2397,2010,4,10,20,56,2397,27.666666666666668,2.6246692913372702
2403,2010,4,11,2,44,2403,38.666666666666664,1.2472191289246477
2404,2010,4,11,3,48,2404,41,2.160246899469287
2405,2010,4,11,4,54,2405,44,3.265986323710904
2406,2010,4,11,5,73,2406,48.666666666666664,4.109609335312652
2419,2010,4,11,18,81,2419,56.666666666666664,5.312459150169743
2422,2010,4,11,21,87,2422,79.33333333333333,1.2472191289246468
2428,2010,4,12,3,108,2428,85.66666666666667,1.2472191289246468
2436,2010,4,12,11,42,2436,26,4.96655480858378
2437,2010,4,12,12,88,2437,29,9.201449161228174
2450,2010,4,13,1,11,2450,7.666666666666667,0.4714045207910316
2451,2010,4,13,2,14,2451,8.666666666666666,1.699673171197595
2454,2010,4,13,5,16,2454,13.333333333333334,0.4714045207910318
2457,2010,4,13,8,19,2457,14.666666666666666,0.9428090415820632
2468,2010,4,13,19,17,2468,13,0
2469,2010,4,13,20,31,2469,14.333333333333334,1.8856180831641265
2470,2010,4,13,21,47,2470,20.333333333333332,7.717224601860151
2473,2010,4,14,0,100,2473,61.333333333333336,10.143416036468626
2482,2010,4,14,9,30,2482,25,0.816496580927726
2483,2010,4,14,10,43,2483,26.333333333333332,2.6246692913372707
2485,2010,4,14,12,57,2485,38.333333333333336,5.9066817155564495
2490,2010,4,14,17,81,2490,48.333333333333336,5.436502143433363
2500,2010,4,15,3,97,2500,81.33333333333333,2.054804667656327
2505,2010,4,15,8,171,2505,131,8.602325267042627
2517,2010,4,15,20,212,2517,202.66666666666666,2.4944382578492976
2519,2010,4,15,22,237,2519,212.66666666666666,5.734883511361754
2524,2010,4,16,3,255,2524,239.33333333333334,3.681787005729084
2533,2010,4,16,12,286,2533,256.3333333333333,7.133644853010905
2546,2010,4,17,1,107,2546,93,2.160246899469287
2548,2010,4,17,3,129,2548,100.33333333333333,6.79869268479038
2552,2010,4,17,7,152,2552,124.66666666666667,6.182412330330468
2555,2010,4,17,10,165,2555,152.33333333333334,1.2472191289246497
2566,2010,4,17,21,184,2566,137.33333333333334,2.4944382578492936
2567,2010,4,17,22,223,2567,152,22.686266036231405
2578,2010,4,18,9,195,2578,181.33333333333334,3.0912061651652327
2579,2010,4,18,10,209,2579,187.33333333333334,5.43650214343336
2583,2010,4,18,14,229,2583,207.33333333333334,6.128258770283409
2584,2010,4,18,15,248,2584,217,9.092121131323903
2589,2010,4,18,20,300,2589,263,4.546060565661952
2593,2010,4,19,0,389,2593,330.3333333333333,17.152907107024816
2608,2010,4,19,15,27,2608,18.666666666666668,2.357022603955159
2609,2010,4,19,16,170,2609,20.333333333333332,4.714045207910318
2625,2010,4,20,8,94,2625,84,2.160246899469287
2648,2010,4,21,7,47,2648,27.666666666666668,1.699673171197595
2662,2010,4,21,21,46,2662,33.666666666666664,1.2472191289246473
2667,2010,4,22,2,49,2667,35.333333333333336,4.189935029992179
2673,2010,4,22,8,53,2673,42,3.559026084010437
2686,2010,4,22,21,47,2686,31.333333333333332,3.8586123009300755
2691,2010,4,23,2,60,2691,41.666666666666664,4.109609335312651
2696,2010,4,23,7,65,2696,30.333333333333332,4.9216076867444665
2710,2010,4,23,21,32,2710,21.333333333333332,1.2472191289246475
2714,2010,4,24,1,53,2714,40.666666666666664,3.0912061651652354
2717,2010,4,24,4,65,2717,54.333333333333336,1.2472191289246473
2718,2010,4,24,5,73,2718,58.333333333333336,4.78423336480244
2720,2010,4,24,7,81,2720,69.33333333333333,3.299831645537222
2721,2010,4,24,8,90,2721,74.66666666666667,4.642796092394705
2723,2010,4,24,10,107,2723,85.66666666666667,3.681787005729087
2724,2010,4,24,11,122,2724,94.33333333333333,9.104333522498443
2729,2010,4,24,16,117,2729,111.33333333333333,0.47140452079103085
2735,2010,4,24,22,89,2735,80,2.160246899469287
2741,2010,4,25,4,106,2741,93.66666666666667,1.699673171197596
2744,2010,4,25,7,129,2744,104.66666666666667,4.988876515698587
2765,2010,4,26,4,20,2765,7.333333333333333,1.699673171197595
2769,2010,4,26,8,16,2769,7,0.816496580927726
2773,2010,4,26,12,18,2773,10.666666666666666,0.4714045207910318
2774,2010,4,26,13,26,2774,13.333333333333334,3.2998316455372216
2790,2010,4,27,5,22,2790,16.666666666666668,1.2472191289246468
2793,2010,4,27,8,27,2793,21,1.4142135623730951
2795,2010,4,27,10,42,2795,26.666666666666668,3.6817870057290865
2809,2010,4,28,0,24,2809,13,1.4142135623730951
2818,2010,4,28,9,15,2818,13.333333333333334,0.47140452079103146
2820,2010,4,28,11,19,2820,14.333333333333334,0.4714045207910318
2825,2010,4,28,16,20,2825,13,1.632993161855452
2831,2010,4,28,22,38,2831,16,0.816496580927726
2847,2010,4,29,14,22,2847,16,0.816496580927726
2851,2010,4,29,18,27,2851,18,0.816496580927726
2857,2010,4,30,0,27,2857,17.666666666666668,1.8856180831641265
2860,2010,4,30,3,32,2860,24,2.449489742783178
2861,2010,4,30,4,40,2861,25.666666666666668,4.642796092394706
2876,2010,4,30,19,37,2876,21,1.4142135623730951
2879,2010,4,30,22,45,2879,36.666666666666664,2.054804667656326
2880,2010,4,30,23,54,2880,39.333333333333336,4.496912521077347
2885,2010,5,1,4,82,2885,68.66666666666667,1.8856180831641258
2886,2010,5,1,5,97,2886,72.66666666666667,6.798692684790378
2901,2010,5,1,20,63,2901,34.333333333333336,2.4944382578492936
2908,2010,5,2,3,93,2908,73.33333333333333,3.8586123009300763
2911,2010,5,2,6,127,2911,102,7.3484692283495345
2930,2010,5,3,1,56,2930,30.666666666666668,4.988876515698588
2936,2010,5,3,7,80,2936,51,9.201449161228174
2938,2010,5,3,9,102,2938,65.66666666666667,11.085526098877262
